Date,IP,DPI,TS,AW
2006-12-31,103.6789,38038,339191000000,34.4
2007-01-31,103.2709,38047,334342000000,34.3
2007-02-28,103.6517,38165,339166000000,34.3
2007-03-31,104.5857,38269,342358000000,34.4
2007-04-30,105.2798,38238,348432000000,34.3
2007-05-31,105.2647,38185,350481000000,34.4
2007-06-30,105.6801,38094,351639000000,34.5
2007-07-31,105.7557,38094,349584000000,34.4
2007-08-31,105.5295,38087,352921000000,34.4
2007-09-30,105.8948,38144,356044000000,34.4
2007-10-31,105.7554,38051,361845000000,34.3
2007-11-30,106.3892,37976,368444000000,34.4
2007-12-31,106.4737,38085,365878000000,34.4
2008-01-31,106.2347,38096,375053000000,34.4
2008-02-29,105.4327,38062,375184000000,34.4
2008-03-31,104.9422,38020,378509000000,34.5
2008-04-30,103.8964,37841,385877000000,34.3
2008-05-31,103.3681,39624,392439000000,34.4
2008-06-30,102.6801,38545,402309000000,34.4
2008-07-31,101.5866,37907,399528000000,34.3
2008-08-31,100.2909,37659,392813000000,34.3
2008-09-30,96.7426,37732,383710000000,34.2
2008-10-31,96.1906,37907,365550000000,34.2
2008-11-30,93.7687,38166,333694000000,34.1
2008-12-31,90.5617,37949,322614000000,33.9
2009-01-31,87.6202,38057,312300000000,34.0
2009-02-28,87.6267,37640,316272000000,34.0
2009-03-31,86.0842,37604,304686000000,33.8
2009-04-30,85.5305,37916,306545000000,33.8
2009-05-31,84.6169,38516,310088000000,33.8
2009-06-30,84.4011,37852,313918000000,33.7
2009-07-31,85.8299,37648,318198000000,33.8
2009-08-31,86.8097,37522,321673000000,33.8
2009-09-30,87.6987,37561,323683000000,33.9
2009-10-31,87.7057,37370,327429000000,33.8
2009-11-30,88.6429,37446,336201000000,33.9
2009-12-31,88.5293,37626,338825000000,33.9
2010-01-31,89.5694,37604,342338000000,34.1
2010-02-28,89.5897,37573,347773000000,33.8
2010-03-31,90.8003,37672,353097000000,34.0
2010-04-30,91.6306,37963,358671000000,34.1
2010-05-31,92.8472,38246,356442000000,34.1
2010-06-30,92.8513,38291,356776000000,34.1
2010-07-31,93.3609,38329,360382000000,34.1
2010-08-31,93.5501,38413,364083000000,34.2
2010-09-30,93.6355,38348,363661000000,34.3
2010-10-31,93.6834,38378,373449000000,34.3
2010-11-30,93.7922,38439,377966000000,34.2
2010-12-31,94.2651,38688,380003000000,34.3
