Date,USIPMANG,USGPYD,USPPM,USWRKW
2000-12-31,92.8624,9647576999999.998,,
2001-01-31,92.4312,9697369000000.0,,
2001-02-28,91.898,9708801999999.998,,
2001-03-31,91.7163,9733895000000.0,,
2001-04-30,91.3506,9705043999999.998,,
2001-05-31,90.7504,9680885000000.0,,
2001-06-30,90.1484,9679361000000.0,,
2001-07-31,89.6332,9820710999999.998,,
2001-08-31,89.273,9982113999999.998,,
2001-09-30,88.9165,9896547000000.0,,
2001-10-31,88.5211,9722350000000.0,,
2001-11-30,88.2363,9733427999999.998,,
2001-12-31,88.4092,9750263999999.998,,
2002-01-31,89.0228,9951897000000.0,,
2002-02-28,89.0486,9966574000000.0,,
2002-03-31,89.7615,9973293999999.998,,
2002-04-30,90.067,10007216000000.0,,
2002-05-31,90.5791,10047904000000.0,,
2002-06-30,91.5003,10078533999999.998,,
2002-07-31,91.4028,10053521000000.0,,
2002-08-31,91.4704,10056579999999.998,,
2002-09-30,91.57,10068303999999.998,,
2002-10-31,91.2756,10097267999999.998,,
2002-11-30,91.7625,10124321999999.998,,
2002-12-31,91.1347,10148558999999.998,,
2003-01-31,91.9314,10133641999999.998,,
2003-02-28,91.8045,10097589999999.998,,
2003-03-31,91.8943,10121475000000.0,,
2003-04-30,91.2369,10181380999999.998,,
2003-05-31,91.2911,10261243000000.0,,
2003-06-30,91.7192,10291195999999.998,,
2003-07-31,92.0878,10415544999999.998,,
2003-08-31,91.709,10487694999999.998,,
2003-09-30,92.54,10369102999999.998,,
2003-10-31,92.6163,10408433999999.998,,
2003-11-30,93.4626,10470906999999.998,,
2003-12-31,93.4216,10478957000000.0,100.0,
2004-01-31,93.3571,10472745000000.0,100.3,
2004-02-29,94.042,10491263999999.998,100.6,
2004-03-31,94.0007,10533555000000.0,100.9,
2004-04-30,94.312,10569629999999.998,101.3,
2004-05-31,94.9846,10623308000000.0,101.6,
2004-06-30,94.2763,10631848999999.998,101.8,
2004-07-31,95.0968,10658103999999.998,102.1,
2004-08-31,95.5339,10693471999999.998,102.3,
2004-09-30,95.61,10701384999999.998,102.5,
2004-10-31,96.6134,10707407999999.998,102.9,
2004-11-30,96.5954,10677261000000.0,103.2,
2004-12-31,97.3759,11072902999999.998,103.4,
2005-01-31,97.9992,10670329999999.998,104.1,
2005-02-28,98.9195,10677049999999.998,104.5,
2005-03-31,98.4306,10717440000000.0,104.9,
2005-04-30,98.8366,10751915000000.0,105.1,
2005-05-31,99.1139,10799827999999.998,105.4,
2005-06-30,99.3489,10824406999999.998,105.6,
2005-07-31,99.0157,10838976000000.0,105.8,
2005-08-31,99.5702,10856607999999.998,105.9,
2005-09-30,98.4303,10815718999999.998,106.1,
2005-10-31,99.9001,10870155000000.0,106.3,
2005-11-30,100.8458,10937772999999.998,106.5,
2005-12-31,100.9394,10976197999999.998,106.8,
2006-01-31,101.7622,11096736999999.998,107.4,
2006-02-28,101.4658,11151366999999.998,107.6,
2006-03-31,101.4176,11195658999999.998,107.8,34.2
2006-04-30,101.7898,11190336999999.998,108.0,34.3
2006-05-31,101.5625,11182706999999.998,108.3,34.3
2006-06-30,101.9031,11198154000000.0,108.6,34.4
2006-07-31,101.6034,11196295999999.998,108.9,34.4
