,IP,GMYXP8,MT82,LPMHU
1959-01-01,46.0,1106.0,169171.0,106.43
1959-02-01,46.9,1108.8,171759.0,106.64
1959-03-01,47.6,1115.0,173787.0,107.65
1959-04-01,48.6,1124.6,176409.0,108.57
1959-05-01,49.3,1129.8,178349.0,108.94
1959-06-01,49.4,1133.7,178588.0,109.42
1959-07-01,48.2,1135.3,178056.0,109.08
1959-08-01,46.6,1122.8,172146.0,108.18
1959-09-01,46.5,1120.9,171673.0,107.84
1959-10-01,46.2,1119.3,172048.0,107.71
1959-11-01,46.5,1137.7,172431.0,108.2
1959-12-01,49.3,1148.5,177213.0,109.95
1960-01-01,50.6,1154.0,180310.0,110.0
1960-02-01,50.2,1150.5,179488.0,110.14
1960-03-01,49.7,1153.4,178579.0,109.78
1960-04-01,49.3,1153.8,179019.0,110.32
1960-05-01,49.3,1161.6,176665.0,110.03
1960-06-01,48.7,1161.6,176526.0,109.89
1960-07-01,48.5,1159.6,175671.0,109.89
1960-08-01,48.4,1155.8,174732.0,109.81
1960-09-01,47.9,1153.2,176693.0,109.24
1960-10-01,47.9,1157.4,175759.0,108.99
1960-11-01,47.2,1150.9,173478.0,109.52
1960-12-01,46.3,1145.6,173835.0,106.79
1961-01-01,46.4,1155.3,170170.0,107.72
1961-02-01,46.3,1156.5,170652.0,107.81
1961-03-01,46.6,1157.8,173582.0,107.82
1961-04-01,47.5,1165.3,172634.0,107.65
1961-05-01,48.3,1171.9,175237.0,108.27
1961-06-01,48.9,1179.2,178415.0,108.91
1961-07-01,49.5,1180.2,176266.0,109.29
1961-08-01,50.0,1182.0,180432.0,109.7
1961-09-01,49.9,1186.2,181053.0,109.24
1961-10-01,50.9,1197.9,183449.0,110.06
1961-11-01,51.7,1206.6,185189.0,110.87
1961-12-01,52.1,1213.4,185952.0,110.68
1962-01-01,51.7,1208.6,186103.0,109.91
1962-02-01,52.5,1218.5,186279.0,111.36
1962-03-01,52.8,1225.2,188810.0,112.02
1962-04-01,52.9,1230.8,188964.0,112.58
1962-05-01,52.8,1233.4,188743.0,112.8
1962-06-01,52.7,1237.6,187945.0,112.9
1962-07-01,53.2,1242.3,188693.0,112.94
1962-08-01,53.3,1245.0,190027.0,113.22
1962-09-01,53.6,1241.3,189532.0,113.57
1962-10-01,53.7,1245.3,191400.0,113.09
1962-11-01,53.9,1249.9,194068.0,113.38
1962-12-01,53.9,1256.3,190801.0,113.21
1963-01-01,54.3,1252.0,191644.0,113.23
1963-02-01,54.9,1257.0,194672.0,113.4
1963-03-01,55.3,1261.7,194784.0,113.5
1963-04-01,55.8,1263.0,196599.0,114.34
1963-05-01,56.4,1269.7,195246.0,114.66
1963-06-01,56.6,1272.2,196939.0,114.91
1963-07-01,56.4,1274.8,199862.0,115.11
1963-08-01,56.5,1280.9,198699.0,115.18
1963-09-01,57.1,1288.4,198905.0,115.56
1963-10-01,57.5,1293.6,201024.0,115.93
1963-11-01,57.7,1293.9,198841.0,115.87
1963-12-01,57.6,1306.1,203233.0,115.84
1964-01-01,58.1,1304.9,204401.0,114.8
1964-02-01,58.5,1318.1,204416.0,116.59
1964-03-01,58.5,1325.0,203875.0,116.75
1964-04-01,59.5,1334.8,207237.0,117.43
1964-05-01,59.8,1340.1,209468.0,117.47
1964-06-01,60.0,1344.0,208897.0,117.72
1964-07-01,60.4,1351.4,212403.0,118.06
1964-08-01,60.8,1362.6,211734.0,118.31
1964-09-01,61.0,1365.8,213717.0,118.31
1964-10-01,60.2,1371.4,210520.0,118.72
1964-11-01,62.0,1378.1,212737.0,119.67
1964-12-01,62.7,1389.8,219532.0,120.6
1965-01-01,63.4,1390.4,219001.0,120.96
1965-02-01,63.8,1394.1,219720.0,121.64
1965-03-01,64.7,1397.7,224425.0,122.06
1965-04-01,64.9,1407.3,224961.0,122.11
1965-05-01,65.5,1417.7,222586.0,122.87
1965-06-01,66.0,1429.2,223579.0,122.76
1965-07-01,66.6,1436.5,227599.0,123.13
1965-08-01,66.9,1439.2,226309.0,123.62
1965-09-01,67.0,1446.9,226300.0,123.88
1965-10-01,67.7,1463.1,228433.0,124.6
1965-11-01,68.0,1471.3,231626.0,125.36
1965-12-01,68.8,1479.7,232436.0,126.16
1966-01-01,69.5,1480.1,235004.0,126.6
1966-02-01,70.0,1482.1,235261.0,127.74
1966-03-01,70.9,1488.2,239082.0,128.42
1966-04-01,71.0,1495.3,237236.0,128.38
1966-05-01,71.7,1502.2,236400.0,128.58
1966-06-01,72.0,1511.7,238940.0,129.53
1966-07-01,72.4,1516.9,237516.0,129.49
1966-08-01,72.5,1518.7,239017.0,129.86
1966-09-01,73.2,1517.8,238581.0,129.8
1966-10-01,73.7,1526.4,239223.0,130.44
1966-11-01,73.2,1530.1,238267.0,130.76
1966-12-01,73.3,1531.7,239320.0,130.98
1967-01-01,73.7,1541.6,240683.0,131.41
1967-02-01,72.8,1546.0,240103.0,130.7
1967-03-01,72.4,1549.3,241224.0,130.61
1967-04-01,73.1,1549.7,241764.0,130.55
1967-05-01,72.5,1556.1,241778.0,130.92
1967-06-01,72.5,1564.5,242180.0,131.23
1967-07-01,72.3,1571.0,242231.0,131.43
1967-08-01,73.7,1573.3,245094.0,131.77
1967-09-01,73.6,1574.9,244586.0,132.34
1967-10-01,74.2,1572.9,242674.0,132.07
