,C,P
1959-02-01,-2.2088378834531994,1.4046392971662391
1959-03-01,-3.9378953113645796,1.361623871951889
1959-04-01,-6.436567438794653,1.5627244532925446
1959-05-01,-7.861490537895927,1.7398151325961235
1959-06-01,-7.983695368866671,1.9007064729535552
1959-07-01,-5.397697014179242,2.0639784449472
1959-08-01,-0.48426269694852486,2.2285994994326055
1959-09-01,0.9802541176808987,2.3930299341052823
1959-10-01,2.288487137652793,2.5573490539660857
1959-11-01,1.336510227748187,2.721683697794412
1959-12-01,-4.758002695205234,2.886027533096972
1960-01-01,-7.022902549056752,3.0503701061711217
1960-02-01,-5.966116008218397,3.214711920369927
1960-03-01,-4.452173152739445,3.379053837191026
1960-04-01,-3.51115240734643,3.543395816664737
1960-05-01,-2.7923941172525004,3.707737787796714
1960-06-01,-1.0265887127313897,3.8720797537563287
1960-07-01,0.10199807400440153,4.0364217203938715
1960-08-01,1.1479109198438415,4.200763687458408
1960-09-01,2.674693100518766,4.365105654467859
1960-10-01,3.3213650421315726,4.529447621442063
1960-11-01,5.307665137481284,4.693789588420743
1960-12-01,8.995883088361728,4.858131555402331
1961-01-01,9.543109370575182,5.0224735223835575
1961-02-01,10.125265667013764,5.186815489364542
1961-03-01,9.723105519071938,5.351157456345557
1961-04-01,8.678598346024861,5.515499423326591
1961-05-01,7.1126447137885975,5.679841390307623
1961-06-01,5.538902609770263,5.844183357288654
1961-07-01,4.91840408153032,6.0085253242696846
1961-08-01,3.9020248652827654,6.172867291250715
1961-09-01,4.469625801249184,6.337209258231746
1961-10-01,2.3079059835927573,6.5015512252127765
1961-11-01,0.6050800600681356,6.665893192193807
1961-12-01,0.17310203977411498,6.830235159174838
1962-01-01,1.9120949832492835,6.9945771261558685
1962-02-01,0.31021361481319687,7.158919093136899
1962-03-01,-0.6886638367471491,7.32326106011793
1962-04-01,-0.994210810234829,7.48760302709896
1962-05-01,-0.5453871508113934,7.651944994079991
1962-06-01,0.1035186974185815,7.816286961061022
1962-07-01,-0.28922891637129033,7.980628928042052
1962-08-01,-0.2342547342187433,8.144970895023084
1962-09-01,-0.27221041594089734,8.309312862004115
1962-10-01,0.018077479443770417,8.473654828985145
1962-11-01,-0.35702619528050983,8.637996795966176
1962-12-01,0.37600208181749006,8.802338762947207
1963-01-01,0.49956063114443655,8.966680729928237
1963-02-01,-0.3049041152270275,9.131022696909268
1963-03-01,-0.7267817093795634,9.295364663890298
1963-04-01,-1.6373712717078859,9.45970663087133
1963-05-01,-2.25884035388228,9.62404859785236
1963-06-01,-2.398716307511509,9.78839056483339
1963-07-01,-2.157730225043033,9.952732531814421
1963-08-01,-1.9976447204426546,10.117074498795452
1963-09-01,-2.6582530175738075,10.281416465776482
1963-10-01,-3.2047637990173934,10.445758432757513
1963-11-01,-2.7570932776281283,10.610100399738544
1963-12-01,-2.813139323448878,10.774442366719574
1964-01-01,-2.6392364246972204,10.938784333700605
1964-02-01,-3.712468519030679,11.103126300681636
1964-03-01,-3.705174683986923,11.267468267662666
1964-04-01,-5.448563848602564,11.431810234643697
1964-05-01,-5.795739899119219,11.596152201624728
1964-06-01,-5.799870537430983,11.760494168605758
1964-07-01,-6.537613030172304,11.924836135586789
1964-08-01,-6.968017514654049,12.08917810256782
1964-09-01,-6.999469425149741,12.25352006954885
1964-10-01,-5.381023634890911,12.41786203652988
1964-11-01,-8.074151789138273,12.582204003510912
1964-12-01,-9.914605012951789,12.746545970491942
1965-01-01,-10.867346301858214,12.910887937472973
1965-02-01,-11.34741223012483,13.075229904454003
1965-03-01,-12.797027208470544,13.239571871435034
1965-04-01,-12.991121494282087,13.403913838416065
1965-05-01,-13.626719227252686,13.568255805397095
1965-06-01,-13.921842738882196,13.732597772378126
1965-07-01,-14.785595251901723,13.896939739359157
1965-08-01,-14.894671605146664,14.061281706340187
1965-09-01,-14.833997547768238,14.225623673321218
1965-10-01,-16.060014832503136,14.389965640302249
1965-11-01,-16.864632814450008,14.55430760728328
1965-12-01,-18.090593583035073,14.71864957426431
1966-01-01,-18.92492787276878,14.88299154124534
1966-02-01,-19.656090748025733,15.047333508226371
1966-03-01,-21.185823529236938,15.211675475207402
1966-04-01,-20.886054811064437,15.376017442188433
1966-05-01,-21.225520856238017,15.540359409169463
1966-06-01,-21.791291985696954,15.704701376150494
1966-07-01,-21.846691705620195,15.869043343131525
1966-08-01,-21.69001936372583,16.033385310112557
1966-09-01,-21.847817639798112,16.197727277093588
1966-10-01,-22.340634790264115,16.36206924407462
1966-11-01,-21.52013458164858,16.52641121105565
1966-12-01,-21.35720582890757,16.69075317803668
1967-01-01,-21.779693349419848,16.85509514501771
1967-02-01,-20.087202301977527,17.01943711199874
1967-03-01,-19.15616830357961,17.18377907897977
1967-04-01,-19.345526130983064,17.348121045960802
1967-05-01,-18.42939131372485,17.512463012941833
1967-06-01,-18.406165697078595,17.676804979922863
1967-07-01,-17.872995623618642,17.841146946903894
1967-08-01,-19.316006672144315,18.005488913884925
1967-09-01,-18.924920434619942,18.169830880865955
1967-10-01,-18.83429732480292,18.334172847846986
1967-11-01,-20.457875002394413,18.498514814828017
1967-12-01,-21.878811522255372,18.662856781809047
1968-01-01,-21.056793962848488,18.827198748790078
1968-02-01,-21.33772926741782,18.99154071577111
1968-03-01,-21.529327909940132,19.15588268275214
1968-04-01,-21.257189236796126,19.32022464973317
1968-05-01,-22.16272119427951,19.4845666167142
1968-06-01,-22.638347788225353,19.64890858369523
1968-07-01,-22.796785822966378,19.813250550676262
1968-08-01,-22.544011567115675,19.977592517657293
1968-09-01,-22.605848057978886,20.141934484638323
1968-10-01,-22.785299848398655,20.306276451619354
1968-11-01,-23.647567472459478,20.470618418600385
1968-12-01,-23.55087162279908,20.634960385581415
1969-01-01,-23.792831844550832,20.799302352562446
1969-02-01,-24.000975481061847,20.963644319543477
1969-03-01,-24.90684193219455,21.127986286524507
1969-04-01,-24.39705508712394,21.292328253505538
1969-05-01,-24.085022630280438,21.45667022048657
1969-06-01,-24.504902262338778,21.6210121874676
1969-07-01,-24.787979258083578,21.78535415444863
1969-08-01,-24.953869301999525,21.94969612142966
1969-09-01,-24.716049836146805,22.11403808841069
1969-10-01,-24.703023887821068,22.27838005539172
1969-11-01,-22.97035326991502,22.442722022372752
1969-12-01,-22.344836821832498,22.607063989353783
1970-01-01,-19.710912213620457,22.771405956334814
1970-02-01,-18.87984293608838,22.935747923315844
1970-03-01,-18.18215567740578,23.100089890296875
1970-04-01,-17.17624400881773,23.264431857277906
1970-05-01,-16.246227077005983,23.428773824258936
1970-06-01,-15.302328645368796,23.593115791239967
1970-07-01,-15.306399591076381,23.757457758220998
1970-08-01,-14.282272429656016,23.92179972520203
1970-09-01,-12.87483378368479,24.08614169218306
1970-10-01,-9.597856283419379,24.25048365916409
1970-11-01,-7.719326113182005,24.41482562614512
1970-12-01,-10.070380107467791,24.57916759312615
1971-01-01,-10.992935741116186,24.74350956010718
1971-02-01,-10.389458396452492,24.907851527088212
1971-03-01,-10.246644219485894,25.072193494069243
1971-04-01,-10.43058803502321,25.236535461050273
1971-05-01,-10.740737939355427,25.400877428031304
1971-06-01,-10.959673730961638,25.565219395012335
1971-07-01,-10.04968487135788,25.729561361993365
1971-08-01,-9.066271652408117,25.893903328974396
1971-09-01,-10.046899839156675,26.058245295955427
1971-10-01,-9.909871781596028,26.222587262936457
1971-11-01,-11.1251012937078,26.386929229917488
1971-12-01,-12.491990169813528,26.55127119689852
1972-01-01,-14.588990893758007,26.71561316387955
1972-02-01,-14.949790429993476,26.87995513086058
1972-03-01,-15.752850045504859,27.04429709784161
1972-04-01,-17.299839389357658,27.20863906482264
1972-05-01,-16.948311780652116,27.372981031803672
1972-06-01,-16.69701317332105,27.537322998784703
1972-07-01,-16.642038641939333,27.701664965765733
1972-08-01,-18.271249202434173,27.866006932746764
1972-09-01,-19.3935202511346,28.030348899727795
1972-10-01,-20.910885130688367,28.194690866708825
1972-11-01,-22.52302455462656,28.359032833689856
1972-12-01,-23.646943538073813,28.523374800670886
1973-01-01,-23.579436034449206,28.687716767651917
1973-02-01,-24.985088938898723,28.852058734632948
1973-03-01,-24.776225698419523,29.01640070161398
1973-04-01,-24.473291999385665,29.18074266859501
1973-05-01,-24.52047144891835,29.34508463557604
1973-06-01,-24.748238159277275,29.50942660255707
1973-07-01,-25.17671702998422,29.6737685695381
1973-08-01,-24.573098392736696,29.83811053651913
1973-09-01,-24.748161845810117,30.002452503500162
1973-10-01,-24.896091570574306,30.166794470481193
1973-11-01,-25.78697101376683,30.331136437462224
1973-12-01,-23.836608402148453,30.495478404443254
1974-01-01,-21.594888336132318,30.659820371424285
1974-02-01,-20.488904210344245,30.824162338405316
1974-03-01,-20.165341039374297,30.988504305386346
1974-04-01,-19.4235771201031,31.152846272367377
1974-05-01,-20.199835747455467,31.317188239348408
1974-06-01,-19.849610900027432,31.481530206329438
1974-07-01,-19.0471512312599,31.64587217331047
1974-08-01,-17.757901763003687,31.8102141402915
1974-09-01,-17.044887451801436,31.97455610727253
1974-10-01,-15.895149746709901,32.13889807425356
1974-11-01,-11.425999320014956,32.303240041234595
1974-12-01,-5.455946953120805,32.46758200821563
1975-01-01,-2.172521959287472,32.631923975196656
1975-02-01,0.5617011624848525,32.79626594217769
1975-03-01,3.7507326617124246,32.960607909158725
1975-04-01,3.453927026875409,33.12494987613975
1975-05-01,4.044632397396301,33.289291843120786
1975-06-01,3.3320757640636907,33.45363381010182
1975-07-01,3.1335789656786237,33.61797577708285
1975-08-01,0.9983795313429957,33.78231774406388
1975-09-01,0.14922352378226666,33.946659711044916
1975-10-01,-0.08241828456992234,34.11100167802594
1975-11-01,-0.3625483894323101,34.27534364500698
1975-12-01,-1.0402612087435499,34.43968561198801
1976-01-01,-3.1808928853137015,34.60402757896904
1976-02-01,-4.716822990721079,34.76836954595007
1976-03-01,-4.08993001002268,34.93271151293111
1976-04-01,-3.9568534792388412,35.097053479912134
1976-05-01,-4.920682815643633,35.26139544689317
1976-06-01,-4.843665806377718,35.4257374138742
1976-07-01,-5.178961223233909,35.59007938085523
1976-08-01,-5.083056672489697,35.754421347836264
1976-09-01,-5.033398026202005,35.9187633148173
1976-10-01,-4.655652771306457,36.083105281798325
1976-11-01,-6.205109941860723,36.24744724877936
1976-12-01,-7.533660135490457,36.41178921576039
1977-01-01,-7.03374452507127,36.57613118274142
1977-02-01,-8.154844343328302,36.740473149722455
1977-03-01,-8.960469356631291,36.90481511670349
1977-04-01,-9.690930869402987,37.069157083684516
1977-05-01,-10.179099798288886,37.23349905066555
1977-06-01,-10.935683850383377,37.397841017646584
1977-07-01,-11.291191765484575,37.56218298462761
1977-08-01,-11.321168296258593,37.726524951608646
1977-09-01,-11.641804155477997,37.89086691858968
1977-10-01,-11.970130387727478,38.05520888557071
1977-11-01,-11.969017278053066,38.21955085255174
1977-12-01,-11.889038955538497,38.383892819532775
1978-01-01,-10.334924770948541,38.5482347865138
1978-02-01,-10.823375045973089,38.71257675349484
1978-03-01,-12.72700728306846,38.87691872047587
1978-04-01,-16.03172344719511,39.0412606874569
1978-05-01,-16.169606969482395,39.20560265443793
1978-06-01,-17.058216851406105,39.369944621418966
1978-07-01,-17.059446486541773,39.53428658839999
1978-08-01,-17.22354664964102,39.69862855538103
1978-09-01,-17.50166890572462,39.86297052236206
1978-10-01,-18.190015496643273,40.02731248934309
1978-11-01,-18.864482147449195,40.19165445632412
1978-12-01,-19.459948111565748,40.35599642330516
1979-01-01,-18.454997408492687,40.520338390286184
1979-02-01,-18.466678940619968,40.68468035726722
1979-03-01,-19.26554639024288,40.84902232424825
1979-04-01,-17.136058149029303,41.01336429122928
1979-05-01,-17.75439701180509,41.177706258210314
1979-06-01,-17.29580841545774,41.34204822519135
1979-07-01,-16.786871795389253,41.506390192172375
1979-08-01,-15.988775306963696,41.67073215915341
1979-09-01,-15.403167780860677,41.835074126134444
1979-10-01,-15.298573729560745,41.99941609311547
1979-11-01,-14.746277691219722,42.163758060096505
1979-12-01,-14.280634743320507,42.32810002707754
1980-01-01,-14.616814080124945,42.49244199405857
1980-02-01,-13.968337315124105,42.6567839610396
1980-03-01,-12.395108919757021,42.821125928020635
1980-04-01,-8.780320015921609,42.98546789500166
1980-05-01,-4.905266749767676,43.149809861982696
1980-06-01,-3.0309676705023163,43.31415182896373
1980-07-01,-2.211569496721943,43.47849379594476
1980-08-01,-3.326372051425791,43.64283576292579
1980-09-01,-4.539675168930781,43.807177729906826
1980-10-01,-5.8964053925442546,43.97151969688785
1980-11-01,-7.438092115606128,44.13586166386889
1980-12-01,-7.618845433457885,44.30020363084992
1981-01-01,-7.455155343968926,44.46454559783095
1981-02-01,-6.5329898773977355,44.62888756481198
1981-03-01,-6.260777847212828,44.79322953179302
1981-04-01,-4.769439545300674,44.957571498774044
1981-05-01,-4.552050045779438,45.12191346575508
1981-06-01,-4.762113048906625,45.28625543273611
1981-07-01,-5.535115508607269,45.45059739971714
1981-08-01,-4.783816161710965,45.614939366698174
1981-09-01,-2.921595765795687,45.77928133367921
1981-10-01,-0.6988688924474391,45.943623300660235
1981-11-01,1.4914993927874476,46.10796526764127
1981-12-01,3.8254767761108894,46.2723072346223
1982-01-01,6.575928037166561,46.43664920160333
1982-02-01,5.542802996218972,46.600991168584365
1982-03-01,6.979280002369158,46.7653331355654
1982-04-01,8.635516657572769,46.929675102546426
1982-05-01,9.766627542872776,47.09401706952746
1982-06-01,11.593173239154613,47.258359036508494
1982-07-01,13.033938300038686,47.42270100348952
1982-08-01,14.4247063654629,47.587042970470556
1982-09-01,15.884209475220075,47.75138493745159
1982-10-01,17.637873242892496,47.91572690443262
1982-11-01,18.319174892443606,48.08006887141365
1982-12-01,18.7076380166238,48.244410838394685
1983-01-01,16.982291281134643,48.40875280537571
1983-02-01,17.52271152736076,48.57309477235675
1983-03-01,16.68554487562674,48.73743673933778
1983-04-01,15.402120751358838,48.90177870631881
1983-05-01,14.024931015709669,49.06612067329984
1983-06-01,12.787146745536232,49.23046264028088
1983-07-01,11.10035499648271,49.394804607261904
1983-08-01,10.425917607234355,49.55914657424294
1983-09-01,8.348485373994242,49.72348854122397
1983-10-01,7.012029311140412,49.887830508205
1983-11-01,6.725682683898471,50.05217247518603
1983-12-01,5.481587042397437,50.21651444216707
1984-01-01,3.0545081467698116,50.380856409148095
1984-02-01,2.1823273721407936,50.54519837612913
1984-03-01,2.1352704459006464,50.70954034311016
1984-04-01,1.8097440320581537,50.87388231009119
1984-05-01,1.7582466238328913,51.038224277072224
1984-06-01,0.7822024282275477,51.20256624405326
